goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
                                 │ linear.txt  │
                                 │   sec/op    │
Get/Btree/Descending/Order-236-8   112.6n ± 1%
Get/Btree/Descending/Order-238-8   111.4n ± 0%
Get/Btree/Descending/Order-240-8   111.4n ± 1%
Get/Btree/Descending/Order-242-8   115.4n ± 1%
Get/Btree/Descending/Order-244-8   114.7n ± 0%
Get/Btree/Descending/Order-246-8   114.4n ± 1%
Get/Btree/Descending/Order-248-8   113.6n ± 0%
Get/Btree/Descending/Order-250-8   117.7n ± 0%
Get/Btree/Descending/Order-252-8   117.5n ± 1%
Get/Btree/Descending/Order-254-8   116.4n ± 0%
Get/Btree/Descending/Order-256-8   115.9n ± 1%
Get/Btree/Sawtooth/Order-2-8       87.84n ± 1%
Get/Btree/Sawtooth/Order-4-8       73.79n ± 1%
Get/Btree/Sawtooth/Order-6-8       61.55n ± 1%
Get/Btree/Sawtooth/Order-8-8       58.23n ± 0%
Get/Btree/Sawtooth/Order-10-8      56.87n ± 1%
Get/Btree/Sawtooth/Order-12-8      59.72n ± 2%
Get/Btree/Sawtooth/Order-14-8      56.94n ± 0%
Get/Btree/Sawtooth/Order-16-8      57.16n ± 0%
Get/Btree/Sawtooth/Order-18-8      58.53n ± 1%
Get/Btree/Sawtooth/Order-20-8      59.86n ± 0%
Get/Btree/Sawtooth/Order-22-8      69.34n ± 4%
Get/Btree/Sawtooth/Order-24-8      65.72n ± 2%
Get/Btree/Sawtooth/Order-26-8      69.25n ± 1%
Get/Btree/Sawtooth/Order-28-8      67.53n ± 0%
Get/Btree/Sawtooth/Order-30-8      64.85n ± 0%
Get/Btree/Sawtooth/Order-32-8      63.78n ± 0%
Get/Btree/Sawtooth/Order-34-8      64.59n ± 0%
Get/Btree/Sawtooth/Order-36-8      65.93n ± 0%
Get/Btree/Sawtooth/Order-38-8      65.94n ± 0%
Get/Btree/Sawtooth/Order-40-8      66.08n ± 1%
Get/Btree/Sawtooth/Order-42-8      66.76n ± 0%
Get/Btree/Sawtooth/Order-44-8      68.75n ± 0%
Get/Btree/Sawtooth/Order-46-8      71.19n ± 1%
Get/Btree/Sawtooth/Order-48-8      70.30n ± 1%
Get/Btree/Sawtooth/Order-50-8      73.70n ± 1%
Get/Btree/Sawtooth/Order-52-8      72.06n ± 0%
Get/Btree/Sawtooth/Order-54-8      71.50n ± 1%
Get/Btree/Sawtooth/Order-56-8      77.23n ± 0%
Get/Btree/Sawtooth/Order-58-8      75.73n ± 0%
Get/Btree/Sawtooth/Order-60-8      74.99n ± 1%
Get/Btree/Sawtooth/Order-62-8      86.98n ± 1%
Get/Btree/Sawtooth/Order-64-8      86.17n ± 1%
Get/Btree/Sawtooth/Order-66-8      85.48n ± 0%
Get/Btree/Sawtooth/Order-68-8      84.53n ± 0%
Get/Btree/Sawtooth/Order-70-8      84.15n ± 1%
Get/Btree/Sawtooth/Order-72-8      83.71n ± 1%
Get/Btree/Sawtooth/Order-74-8      83.05n ± 1%
Get/Btree/Sawtooth/Order-76-8      82.83n ± 1%
Get/Btree/Sawtooth/Order-78-8      81.83n ± 1%
