Done vet in 0s
Done test in 0s
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkBtreeSet/Forward/Order-90-8        	40947058	        35.96 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-91-8        	40393348	        34.33 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-92-8        	40858208	        34.07 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-93-8        	41119110	        34.27 ns/op	      52 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-94-8        	40488950	        33.59 ns/op	      52 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-95-8        	41528169	        33.54 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-96-8        	41609509	        33.81 ns/op	      50 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-97-8        	40798875	        33.26 ns/op	      50 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-98-8        	41410944	        33.63 ns/op	      49 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-99-8        	42254109	        33.29 ns/op	      49 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-100-8       	41962539	        33.09 ns/op	      48 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-101-8       	41414044	        33.07 ns/op	      48 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-102-8       	40348712	        34.54 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-103-8       	41022268	        34.24 ns/op	      52 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-104-8       	40359680	        34.07 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-105-8       	40798681	        34.29 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-106-8       	40275002	        33.92 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-107-8       	40505385	        33.82 ns/op	      50 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-108-8       	40322277	        33.75 ns/op	      50 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-109-8       	41691438	        33.57 ns/op	      49 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-110-8       	41861184	        33.95 ns/op	      49 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-111-8       	41091742	        34.94 ns/op	      48 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-112-8       	41684347	        33.51 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-113-8       	41348587	        33.19 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-114-8       	40918363	        33.36 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-115-8       	41648868	        33.43 ns/op	      53 B/op	       0 allocs/op
