goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
                                 │  binary.txt  │
                                 │    sec/op    │
Get/Btree/Descending/Order-206-8   61.28n ±  2%
Get/Btree/Descending/Order-208-8   60.90n ±  1%
Get/Btree/Descending/Order-210-8   62.70n ±  4%
Get/Btree/Descending/Order-212-8   63.05n ±  9%
Get/Btree/Descending/Order-214-8   60.38n ±  1%
Get/Btree/Descending/Order-216-8   60.73n ±  2%
Get/Btree/Descending/Order-218-8   60.39n ±  1%
Get/Btree/Descending/Order-220-8   60.40n ±  0%
Get/Btree/Descending/Order-222-8   61.76n ±  4%
Get/Btree/Descending/Order-224-8   60.85n ±  3%
Get/Btree/Descending/Order-226-8   60.73n ±  2%
Get/Btree/Descending/Order-228-8   61.12n ±  6%
Get/Btree/Descending/Order-230-8   60.52n ± 11%
Get/Btree/Descending/Order-232-8   60.64n ±  1%
Get/Btree/Descending/Order-234-8   60.34n ±  1%
Get/Btree/Descending/Order-236-8   60.32n ±  0%
Get/Btree/Descending/Order-238-8   60.55n ±  1%
Get/Btree/Descending/Order-240-8   60.52n ±  0%
Get/Btree/Descending/Order-242-8   60.33n ±  1%
Get/Btree/Descending/Order-244-8   60.89n ±  0%
Get/Btree/Descending/Order-246-8   60.50n ±  0%
Get/Btree/Descending/Order-248-8   60.73n ±  1%
Get/Btree/Descending/Order-250-8   60.47n ± 10%
Get/Btree/Descending/Order-252-8   60.49n ±  1%
Get/Btree/Descending/Order-254-8   60.65n ±  1%
Get/Btree/Descending/Order-256-8   60.94n ±  1%
Get/Btree/Sawtooth/Order-2-8       86.77n ±  1%
Get/Btree/Sawtooth/Order-4-8       77.02n ±  1%
Get/Btree/Sawtooth/Order-6-8       70.08n ±  1%
Get/Btree/Sawtooth/Order-8-8       70.60n ±  2%
Get/Btree/Sawtooth/Order-10-8      70.06n ±  2%
Get/Btree/Sawtooth/Order-12-8      72.12n ±  3%
Get/Btree/Sawtooth/Order-14-8      73.47n ±  2%
Get/Btree/Sawtooth/Order-16-8      72.41n ±  4%
Get/Btree/Sawtooth/Order-18-8      71.14n ±  5%
Get/Btree/Sawtooth/Order-20-8      69.36n ±  2%
Get/Btree/Sawtooth/Order-22-8      71.17n ±  1%
Get/Btree/Sawtooth/Order-24-8      70.86n ±  1%
Get/Btree/Sawtooth/Order-26-8      69.59n ±  1%
Get/Btree/Sawtooth/Order-28-8      71.45n ±  1%
Get/Btree/Sawtooth/Order-30-8      71.84n ±  1%
Get/Btree/Sawtooth/Order-32-8      72.71n ±  0%
Get/Btree/Sawtooth/Order-34-8      72.80n ±  0%
Get/Btree/Sawtooth/Order-36-8      70.75n ±  0%
Get/Btree/Sawtooth/Order-38-8      71.68n ±  4%
Get/Btree/Sawtooth/Order-40-8      70.79n ±  2%
Get/Btree/Sawtooth/Order-42-8      70.56n ±  2%
Get/Btree/Sawtooth/Order-44-8      73.78n ± 18%
Get/Btree/Sawtooth/Order-46-8      70.05n ±  0%
Get/Btree/Sawtooth/Order-48-8      71.05n ±  1%
Get/Btree/Sawtooth/Order-50-8      69.31n ±  1%
Get/Btree/Sawtooth/Order-52-8      69.83n ±  1%
Get/Btree/Sawtooth/Order-54-8      71.45n ±  2%
Get/Btree/Sawtooth/Order-56-8      69.47n ±  1%
Get/Btree/Sawtooth/Order-58-8      69.90n ±  1%
Get/Btree/Sawtooth/Order-60-8      70.39n ±  1%
Get/Btree/Sawtooth/Order-62-8      70.87n ±  1%
Get/Btree/Sawtooth/Order-64-8      70.34n ±  0%
Get/Btree/Sawtooth/Order-66-8      71.24n ±  1%
Get/Btree/Sawtooth/Order-68-8      70.81n ±  1%
Get/Btree/Sawtooth/Order-70-8      69.80n ±  1%
Get/Btree/Sawtooth/Order-72-8      69.51n ±  0%
Get/Btree/Sawtooth/Order-74-8      69.08n ±  1%
Get/Btree/Sawtooth/Order-76-8      68.76n ±  1%
Get/Btree/Sawtooth/Order-78-8      68.25n ±  1%
Get/Btree/Sawtooth/Order-80-8      68.49n ±  0%
Get/Btree/Sawtooth/Order-82-8      68.39n ±  1%
Get/Btree/Sawtooth/Order-84-8      67.62n ±  0%
Get/Btree/Sawtooth/Order-86-8      67.13n ±  1%
Get/Btree/Sawtooth/Order-88-8      67.61n ±  1%
Get/Btree/Sawtooth/Order-90-8      67.53n ±  0%
Get/Btree/Sawtooth/Order-92-8      69.00n ±  1%
Get/Btree/Sawtooth/Order-94-8      67.59n ±  1%
Get/Btree/Sawtooth/Order-96-8      67.64n ±  1%
Get/Btree/Sawtooth/Order-98-8      67.47n ±  0%
Get/Btree/Sawtooth/Order-100-8     67.78n ±  1%
Get/Btree/Sawtooth/Order-102-8     67.83n ±  1%
Get/Btree/Sawtooth/Order-104-8     68.06n ±  1%
Get/Btree/Sawtooth/Order-106-8     67.66n ±  0%
Get/Btree/Sawtooth/Order-108-8     67.99n ±  1%
Get/Btree/Sawtooth/Order-110-8     67.88n ±  1%
Get/Btree/Sawtooth/Order-112-8     67.88n ±  0%
Get/Btree/Sawtooth/Order-114-8     67.89n ±  1%
Get/Btree/Sawtooth/Order-116-8     68.08n ±  1%
Get/Btree/Sawtooth/Order-118-8     68.56n ±  1%
Get/Btree/Sawtooth/Order-120-8     68.66n ±  1%
Get/Btree/Sawtooth/Order-122-8     69.19n ±  2%
Get/Btree/Sawtooth/Order-124-8     70.61n ±  6%
Get/Btree/Sawtooth/Order-126-8     69.60n ±  1%
Get/Btree/Sawtooth/Order-128-8     70.02n ±  3%
Get/Btree/Sawtooth/Order-130-8     69.10n ±  1%
Get/Btree/Sawtooth/Order-132-8     68.83n ±  2%
Get/Btree/Sawtooth/Order-134-8     68.68n ±  1%
Get/Btree/Sawtooth/Order-136-8     69.00n ±  2%
Get/Btree/Sawtooth/Order-138-8     68.94n ±  3%
Get/Btree/Sawtooth/Order-140-8     68.76n ±  1%
Get/Btree/Sawtooth/Order-142-8     67.94n ±  0%
Get/Btree/Sawtooth/Order-144-8     67.66n ±  1%
Get/Btree/Sawtooth/Order-146-8     68.07n ±  1%
Get/Btree/Sawtooth/Order-148-8     67.81n ±  1%
Get/Btree/Sawtooth/Order-150-8     67.20n ±  1%
Get/Btree/Sawtooth/Order-152-8     67.04n ±  1%
Get/Btree/Sawtooth/Order-154-8     66.65n ±  0%
Get/Btree/Sawtooth/Order-156-8     66.84n ±  0%
Get/Btree/Sawtooth/Order-158-8     66.54n ±  0%
Get/Btree/Sawtooth/Order-160-8     66.79n ±  1%
Get/Btree/Sawtooth/Order-162-8     66.51n ±  0%
Get/Btree/Sawtooth/Order-164-8     66.87n ±  0%
Get/Btree/Sawtooth/Order-166-8     66.42n ±  1%
Get/Btree/Sawtooth/Order-168-8     66.55n ±  1%
Get/Btree/Sawtooth/Order-170-8     66.81n ±  2%
Get/Btree/Sawtooth/Order-172-8     67.26n ±  1%
Get/Btree/Sawtooth/Order-174-8     67.40n ±  1%
Get/Btree/Sawtooth/Order-176-8     67.03n ±  1%
Get/Btree/Sawtooth/Order-178-8     66.95n ±  1%
